temp,hum,label
25.1,60.2,0
24.8,58.9,0
26.0,61.0,0
27.2,63.5,0
23.9,55.1,0
24.3,56.0,0
25.5,59.3,0
26.1,60.7,0
24.9,57.8,0
25.4,58.2,0
35.0,80.0,1
36.5,82.0,1
10.0,30.0,1
38.0,85.0,1
12.0,25.0,1
26.3,62.1,0
25.0,59.0,0
24.7,57.2,0
26.5,60.8,0
23.8,54.9,0
25.6,58.7,0
26.2,61.3,0
24.5,56.4,0
25.3,57.9,0
26.0,59.8,0
37.5,83.2,1
25.7,59.5,0
24.6,56.8,0
26.4,61.9,0
25.2,58.1,0
27.0,63.0,0
23.7,55.0,0
24.4,56.2,0
25.8,60.0,0
26.3,62.4,0
24.8,57.5,0
25.9,59.8,0
26.1,60.9,0
24.2,55.6,0
23.9,54.8,0
26.6,62.7,0
35.8,81.5,1
13.2,17.8,1
39.5,89.0,1
10.5,29.0,1
41.3,91.2,1
38.7,86.4,1
15.2,21.0,1
40.7,92.5,1

